Node ID,X,Y
238,116.352898,39.842809
239,116.461643,39.951342
240,116.387951,39.870054
241,116.384472,39.897415
242,116.437138,39.979012
243,116.431995,39.924217
244,116.296116,39.949048
245,116.298431,39.924065
246,116.441063,39.910398
247,116.346668,39.897779
248,116.435005,39.918653
249,116.444511,39.953369
250,116.377686,39.953392
251,116.424049,39.989121
252,116.45116,39.933665
253,116.344109,39.934097
254,116.397163,39.851196
255,116.450283,39.924049
256,116.389237,39.987831
257,116.268688,39.946864
258,116.417007,39.899279
259,116.421223,39.870946
260,116.487106,39.858704
261,116.477272,39.9702
262,116.470951,39.893064
263,116.442925,39.976657
264,116.40023,39.847064
265,116.373356,39.94856
266,116.340416,39.967791
267,116.461781,39.897191
268,116.444225,39.923462
269,116.276077,39.880069
270,116.321503,39.966746
271,116.388004,39.962997
272,116.362976,39.918437
273,116.374146,39.881516
274,116.305203,39.98538
275,116.397183,39.837687
276,116.400063,39.85068
277,116.395535,39.856992
278,116.371876,39.90713
279,116.418179,39.901998
280,116.294498,39.967847
281,116.365479,39.987015
282,116.470814,39.942708
283,116.4599,39.908051
284,116.34565,39.976306
285,116.450481,39.9338
286,116.357636,39.908689
287,116.30183,39.959651
288,116.411919,39.932195
289,116.311688,39.896235
290,116.316631,39.851738
291,116.284287,39.959651
292,116.419319,39.845907
293,116.421394,39.869619
294,116.472309,39.949209
295,116.310795,39.914909
296,116.362869,39.907295
297,116.339924,39.986618
298,116.451096,39.959732
299,116.356392,39.949679
300,116.489983,39.895246
301,116.271225,39.969983
302,116.335484,39.914032
303,116.348183,39.93971
304,116.34729,39.848961
305,116.374172,39.869497
306,116.312836,39.895864
307,116.273434,39.925184
308,116.355591,39.897237
309,116.490032,39.912664
310,116.289665,39.829598
311,116.327221,39.986059
312,116.450321,39.933802
313,116.355122,39.942589
314,116.45631,39.956655
315,116.489517,39.933418
316,116.366215,39.83123
317,116.400642,39.852089
318,116.421516,39.862216
319,116.47226,39.838585
320,116.31662,39.849965
321,116.28215,39.974442
322,116.284496,39.957059
323,116.335815,39.976507
324,116.27507,39.96519
325,116.393822,39.947932
