Node ID,X,Y
315,121.418075,31.272335
316,121.567581,31.256795
317,121.467265,31.237751
318,121.476942,31.271805
319,121.510616,31.207919
320,121.436111,31.253718
321,121.424152,31.220607
322,121.515479,31.23734
323,121.456401,31.18694
324,121.528983,31.18749
325,121.513938,31.303035
326,121.492358,31.222109
327,121.433135,31.170089
328,121.466845,31.231115
329,121.457381,31.241243
330,121.527243,31.262662
331,121.523571,31.300679
332,121.482934,31.242352
333,121.471235,31.221885
334,121.468057,31.245074
335,121.432871,31.222368
336,121.446848,31.143449
337,121.404775,31.287073
338,121.46015,31.247629
339,121.504427,31.239406
340,121.49429,31.268542
341,121.544836,31.300487
342,121.56052,31.169327
343,121.452341,31.19026
344,121.464933,31.21515
345,121.489956,31.267289
346,121.511043,31.17105
347,121.481569,31.273113
348,121.437437,31.191722
349,121.577194,31.188769
350,121.395136,31.198576
351,121.43512,31.172226
352,121.544305,31.293676
353,121.522232,31.285326
354,121.432271,31.223686
355,121.493168,31.185138
356,121.605355,31.231648
357,121.423478,31.288497
358,121.411055,31.141833
359,121.432934,31.18716
360,121.48343,31.255198
361,121.52885,31.151568
362,121.54334,31.22522
363,121.417436,31.217517
364,121.450706,31.219866
365,121.463732,31.255769
366,121.541933,31.21284
367,121.49474,31.269969
368,121.504861,31.250848
369,121.615326,31.178446
370,121.413426,31.137192
371,121.417993,31.193887
372,121.377738,31.219787
373,121.600071,31.204148
374,121.589103,31.17067
375,121.507677,31.1552
376,121.509803,31.185778
377,121.471485,31.200046
378,121.425085,31.153284
379,121.526529,31.269644
380,121.591663,31.167253
381,121.529772,31.222195
382,121.444512,31.202035
383,121.411846,31.206086
384,121.518942,31.209431
385,121.529627,31.214908
386,121.468163,31.223868
387,121.385402,31.215104
388,121.49081,31.161505
389,121.379505,31.220279
390,121.586748,31.175991
391,121.552364,31.269631
392,121.405971,31.288337
393,121.480296,31.256479
394,121.516405,31.305028
395,121.549134,31.172082
396,121.531958,31.207702
397,121.412089,31.179038
398,121.508578,31.262758
399,121.499445,31.212454
400,121.481102,31.265511
401,121.572128,31.173904
402,121.622431,31.182461
403,121.524491,31.230094
404,121.49181,31.21927
405,121.53975,31.189188
406,121.531029,31.208705
407,121.587895,31.185932
408,121.475452,31.238161
409,121.480109,31.265843
410,121.462891,31.192271
411,121.436699,31.229497
412,121.531005,31.14877
413,121.477019,31.196766
414,121.456485,31.225256
415,121.60915,31.219882
416,121.434375,31.210808
417,121.490703,31.22709
418,121.544619,31.307256
419,121.612684,31.205407
420,121.392457,31.268933
421,121.517006,31.233635
422,121.489759,31.292798
423,121.412974,31.201181
424,121.434071,31.185455
425,121.562647,31.164872
426,121.602541,31.237064
427,121.557663,31.174749
428,121.531879,31.154717
429,121.460724,31.223887
430,121.473315,31.222791
431,121.459499,31.264224
432,121.474839,31.164716
433,121.43596,31.180376
434,121.404564,31.286586
435,121.492223,31.22947
436,121.40183,31.282142
437,121.618661,31.1805
438,121.411435,31.141975
439,121.424617,31.221157
440,121.554089,31.237849
441,121.431536,31.16032
442,121.473019,31.22595
443,121.530332,31.184785
444,121.527577,31.153394
445,121.39695,31.244797
446,121.437862,31.243146
447,121.525406,31.191789
448,121.532107,31.21511
449,121.455591,31.185179
450,121.434351,31.223594
451,121.506599,31.234154
452,121.405548,31.273008
453,121.478246,31.266499
454,121.500773,31.236309
455,121.447683,31.198897
456,121.476534,31.23149
457,121.477251,31.220201
458,121.468009,31.261541
459,121.394839,31.198403
460,121.49331,31.259185
461,121.513082,31.234096
462,121.497613,31.208337
463,121.483112,31.231052
464,121.603486,31.222186
465,121.540493,31.28484
466,121.603209,31.192739
467,121.502164,31.214165
468,121.608505,31.219751
469,121.501215,31.206922
470,121.585639,31.183512
471,121.526308,31.287118
472,121.466637,31.244383
473,121.43144,31.150174
