Link ID,From Node,To Node,LENGTH,ID,POSSPEED,ROADWIDTH,FC,DIR,PYNAME
1677,1074,2423,0.019719,64822,30,6,7,0,XIN PU LU
1678,1075,4749,0.270238,9814,30,4,7,0,None
1679,1076,10400,0.2668,66564,50,9,6,0,ZHANG YANG LU
1680,1076,9813,0.285922,66565,40,8,7,0,MIAO PU LU
1681,1077,8154,0.314551,21230,50,4,6,0,GUANG FU XI LU
1682,1078,2570,0.011991,66144,40,5,7,0,None
1683,1078,9255,0.352596,66143,50,12,6,0,JIN XIU LU
1684,1079,7906,0.018123,74289,50,12,6,0,None
1685,1079,5270,0.040728,74290,70,18,5,0,LUO SHAN LU
1686,1080,1951,0.07892,40181,30,4,7,0,BAO CHANG LU
1687,1080,3151,0.16179,19699,30,8,7,0,LIN SHAN LU
1688,1081,4300,0.010927,74906,40,8,7,0,DONG MING LU
1689,1081,7948,0.242228,69174,50,8,6,0,CHENG SHAN LU
1690,1082,5161,0.153874,14714,50,8,4,0,HONG MEI LU
1691,1083,10233,0.046586,8486,50,8,7,0,CHANG ZHI LU
1692,1083,966,0.081286,7369,30,6,7,0,TANG GU LU
1693,1085,2657,0.067337,19360,30,6,7,0,PING XING GUAN LU
1694,1086,6619,0.008355,93911,40,8,7,0,GUANG DE LU
1695,1086,2759,0.334472,93912,40,8,6,0,YANG SHU PU LU
1696,1087,9763,0.315775,66437,40,8,7,0,YING HUA LU
1697,1087,1983,0.171481,66426,40,8,7,0,YIN XIAO LU
1698,1089,6623,0.861927,8787,40,8,7,0,YUE XIU LU
1699,1090,1537,0.095631,19808,40,8,7,0,FU XING ZHONG LU
1700,1091,2370,0.318504,66648,30,6,7,0,None
1701,1091,36,0.368132,66649,40,8,7,0,SHANG CHENG LU
1702,1092,572,0.239993,9737,50,8,4,0,ZHONG SHAN NAN 2 LU
1703,1092,7511,0.012434,18012,40,8,7,0,None
1704,1093,10643,0.873458,43453,70,16,1,0,ZHONG HUAN LU
1705,1093,8061,0.050966,21272,50,-1,4,0,None
1706,1094,4682,0.397138,74890,40,10,7,0,BEI AI LU
1707,1094,443,0.335759,78563,50,8,7,0,JIN ZUN LU
1708,1095,10378,0.414208,71808,50,8,7,0,JU JIA QIAO LU
1709,1095,9916,0.008435,71807,50,8,7,0,None
1710,1095,8334,0.253039,71805,30,4,7,0,None
1711,1096,3840,0.013145,17535,40,8,7,0,None
1712,1096,4378,0.089956,14300,40,8,7,0,HUAI HAI DONG LU
1713,1096,10107,0.255336,17533,30,5,7,0,YUN NAN NAN LU
1714,1097,298,0.314813,16839,60,8,6,0,TIAN SHAN LU
1715,1097,3926,0.008799,16504,30,6,7,0,None
1716,1098,3180,0.360647,8629,60,12,6,0,ZHOU JIA ZUI LU
1717,1098,7926,0.144092,8514,40,8,7,0,YUAN QUAN LU
1718,1099,5140,0.256831,8185,40,8,7,0,ZHANG WU LU
1719,1100,4739,0.182643,6859,40,8,7,0,AN SHAN LU
1720,1100,4597,0.293056,8189,40,6,7,0,JIN XI LU
1721,1101,4042,0.173263,33746,30,6,7,0,None
1722,1102,10035,0.183346,89818,20,-1,10,0,SHI BO GUAN LU
1723,1102,887,0.365406,89817,20,-1,10,0,SHI BO DA DAO
1724,1103,11115,0.168928,21823,40,4,7,0,DONG LI NAN 4 LU
1725,1104,2228,0.28304,14023,40,8,7,0,GUANG FU LU
1726,1105,9397,0.029526,43584,40,4,7,0,HONG MEI NAN LU FU LU
1727,1105,7991,0.038,43585,30,4,7,0,None
1728,1106,386,0.186886,18188,50,12,4,0,YAN AN ZHONG LU
1729,1106,2581,0.11899,18191,40,4,6,0,None
1730,1107,3513,0.172556,16288,40,8,7,0,RONG HUA DONG DAO
1731,1107,10495,0.143173,16251,50,8,7,0,GU BEI LU
1732,1108,8458,0.01551,17236,40,4,7,0,None
1733,1108,1114,0.48598,15251,60,19,4,0,CAO XI LU
1734,1109,2565,0.187735,14241,30,6,7,0,NAN SU ZHOU LU
1735,1109,7383,0.14395,14242,40,8,7,0,ZHE JIANG ZHONG LU
1736,1111,1953,0.006441,8235,60,8,4,0,None
1737,1111,1523,0.235512,8236,40,4,7,0,CHI FENG LU
1738,1112,9449,0.003811,11207,40,-1,7,0,None
1739,1112,6524,0.070171,11213,40,4,7,0,YUAN PING LU
1740,1114,4806,0.121179,15252,60,19,4,0,CAO XI LU
1741,1116,4755,0.115056,75725,70,8,4,0,None
1742,1117,3921,0.119735,23011,30,3,7,0,None
1743,1117,1693,0.220419,23012,40,9,7,0,ZHEN HUA LU
1744,1118,10432,0.016219,13050,40,8,7,0,XI KANG LU
1745,1119,3213,0.138671,14458,40,8,7,0,ZI ZHONG LU
1746,1119,10141,0.06827,13729,40,8,7,0,JI NAN LU
1747,1120,4104,0.053119,7338,30,6,7,0,None
1748,1121,1008,0.009479,19555,40,8,7,0,XI KANG LU
1749,1121,10927,0.016891,19556,40,4,7,0,CHANG PING LU
1750,1122,8331,0.231222,11488,40,8,7,0,HUA CHI LU
1751,1122,9199,0.317037,11490,60,8,6,0,LAN GAO LU
1752,1123,4923,0.137688,65680,30,6,7,0,None
1753,1123,8252,0.141692,65679,60,8,6,0,DONG FANG LU
1754,1124,9741,0.260711,16581,50,17,4,0,YAN AN XI LU
1755,1124,8958,0.395858,16577,70,8,4,0,None
1756,1125,9419,0.066908,79100,30,6,7,0,None
1757,1126,7046,0.254235,72850,30,6,7,0,LUO SHAN LU BIAN DAO
1758,1127,7526,0.035062,13500,40,8,7,0,NAN CHE ZHAN LU
1759,1127,1695,0.222587,19619,50,12,7,0,XIE TU DONG LU
1760,1128,7994,0.130074,7373,30,4,7,0,BAI GUAN JIE
1761,1128,4771,0.065204,6398,30,6,7,0,KUN SHAN LU
1762,1129,512,0.35556,18748,70,8,1,0,None
1763,1129,6991,0.514127,18747,70,8,1,0,None
1764,1130,6241,0.253311,9927,20,8,7,0,None
1765,1130,205,0.249957,9926,30,6,7,0,None
1766,1131,2595,0.526392,90892,70,8,5,0,None
1767,1131,7908,1.001565,88751,70,8,5,0,None
1768,1132,2348,0.181808,12232,30,6,7,0,FENG YANG LU
1769,1132,7661,0.16616,12969,30,6,7,0,DA TIAN LU
1770,1133,6817,0.276382,75571,60,8,5,0,None
1771,1134,4762,0.021093,18643,40,-1,6,0,None
1772,1134,2626,0.23696,18642,60,20,4,0,WEN SHUI LU
1773,1135,200,0.008524,20382,50,4,7,0,WEN ZHOU LU
1774,1135,4876,0.138582,20816,50,8,7,0,BEI JING XI LU
1775,1136,8727,0.164754,74162,60,12,6,0,PU DONG DA DAO
1776,1137,9769,0.005064,13088,60,12,6,0,None
1777,1137,5542,0.173241,13089,40,5,7,0,JIAO ZHOU LU
1778,1138,4731,0.008442,14050,40,4,7,0,None
1779,1139,7442,0.46199,69287,50,17,6,0,SHANG NAN LU
1780,1139,2549,0.008784,69262,40,8,7,0,None
1781,1141,6934,0.417187,14081,30,6,7,0,SHUN YI LU
1782,1141,10806,0.214973,13923,40,8,7,0,BAI YU LU
1783,1142,1642,0.011092,18848,40,-1,7,0,None
1784,1142,11074,0.321083,17541,50,12,7,0,WU SHENG LU
1785,1143,7807,0.006653,16483,50,4,7,0,None
1786,1144,4988,0.134912,19570,60,16,4,0,ZHONG SHAN DONG 1 LU
1787,1144,3574,0.011579,19569,50,12,7,0,None
1788,1145,9369,0.223303,65976,40,8,7,0,TANG QIAO XIN LU
1789,1145,10042,0.324868,65975,50,8,7,0,PU MING LU
1790,1146,5259,0.00983,6994,50,12,6,0,None
1791,1147,9533,0.328415,66633,30,6,7,0,None
1792,1147,543,0.163125,66634,40,8,7,0,JU YE LU
1793,1148,6410,0.015412,15645,50,8,6,0,None
1794,1148,3655,0.047054,15642,70,12,2,0,HU MIN LU
1795,1149,3444,0.128025,15146,40,8,7,0,MEI LONG LU
1796,1149,1878,0.178418,15134,30,6,7,0,None
1797,1150,10514,0.398047,9284,60,20,4,0,WEN SHUI LU
1798,1150,2383,0.022053,9287,40,8,7,0,None
1799,1151,6208,0.410002,9971,50,8,7,0,DA DU HE LU
1800,1151,5393,0.007591,17839,60,19,2,0,None
1801,1152,3194,0.29882,66299,40,5,7,0,ZI HUAI LU
1802,1152,8358,0.004903,66310,40,5,7,0,None
1803,1154,5905,0.006173,18782,40,8,4,0,FU JIAN ZHONG LU
1804,1154,463,0.009605,18781,50,8,4,0,YAN AN DONG LU
1805,1155,5531,0.344653,91577,40,8,7,0,CHANG QING LU
1806,1155,5623,0.008008,91600,50,8,6,0,CHENG SHAN LU
1807,1157,10721,0.246057,20106,50,8,6,0,LONG HUA LU
1808,1157,7902,0.010571,42895,50,16,7,0,HOU MA LU
1809,1159,2601,0.008469,17666,40,4,7,0,None
1810,1159,6186,0.222381,12180,60,7,6,0,LU JIA BANG LU
1811,1160,8836,0.01136,7139,50,8,7,0,None
1812,1161,9472,0.159153,17142,40,4,4,0,None
1813,1161,7281,0.009914,17141,40,-1,4,0,None
1814,1162,10424,0.304534,91604,50,8,7,0,None
1815,1163,8700,0.015976,66113,50,4,6,0,None
1816,1163,2855,0.008424,66114,60,8,6,0,DONG FANG LU
1817,1164,3668,0.474767,17098,50,8,7,0,NAN DAN DONG LU
1818,1164,9694,0.009321,17067,40,8,7,0,None
1819,1165,4871,0.008782,78115,40,-1,7,0,None
1820,1166,8345,0.029036,9074,50,-1,4,0,None
1821,1166,8267,0.095264,9073,50,-1,4,0,None
1822,1167,1793,0.244352,6262,30,4,7,0,QI QI HA ER LU
1823,1167,11069,0.242355,6152,50,4,4,0,PING LIANG LU
1824,1168,9076,0.090071,12995,30,4,7,0,None
1825,1168,2893,0.108445,12997,30,6,7,0,None
1826,1169,5574,0.006326,12211,40,8,7,0,WU YI LU
1827,1170,2061,0.377202,15703,70,8,4,0,None
1828,1170,7598,0.071335,15702,50,8,4,0,ZHONG SHAN NAN 2 LU
1829,1172,2618,0.036577,92382,40,4,7,0,None
1830,1172,3115,0.044,92379,40,8,7,0,SHI QUAN DONG LU
1831,1173,8538,0.114271,41925,30,6,7,0,SHUANG FENG LU
1832,1174,2648,0.071295,6107,40,8,7,0,SHEN YANG LU
1833,1174,178,0.054539,7412,30,3,7,0,None
1834,1175,2633,0.17123,5833,60,11,6,0,NING GUO LU
1835,1177,6516,0.143432,6483,40,8,7,0,HUI HE LU
1836,1177,4695,0.623278,5169,50,12,4,0,ZHONG SHAN BEI 2 LU
1837,1178,4995,0.013244,66905,50,12,6,0,None
1838,1179,10482,0.072306,73625,30,8,7,0,None
1839,1179,6427,0.247903,65564,40,4,7,0,LAO SHAN LU
