Link ID,From Node,To Node,LENGTH,KIND,WIDTH,DIRECTION,ONEWAY,PATHPY
9934,6259,2937,0.069706,5,30,3,T,jing tong kuai su gong lu
9935,6259,3331,0.186869,301,55,3,T,si hui qiao
9936,6260,2280,0.834139,301,55,3,T,nan si huan zhong lu fu lu
9937,6260,6100,0.133934,601,30,3,T,None
9938,6261,5238,0.009496,102,130,3,T,san huan
9939,6262,5997,0.467514,601,55,1,None,liang ma he nan lu
9940,6262,6711,0.352978,602,55,2,F,xin dong lu
9941,6263,2027,0.01407,404,130,2,F,None
9942,6263,6051,0.013951,404,55,3,T,None
9943,6264,491,0.041481,5,30,2,F,jing zang gao su gong lu
9944,6265,1777,0.088856,602,55,3,T,yi he yuan lu
9945,6265,274,0.026715,301,55,2,F,bei si huan xi lu fu lu
9946,6266,2241,0.099506,601,30,3,T,zi zhu yuan lu
9947,6266,4374,0.087847,601,55,0,None,None
9948,6267,10057,0.161045,202,55,2,F,nan yuan lu
9949,6268,8728,0.071424,601,30,3,T,guang qu men wai da jie
9950,6269,6425,0.036178,601,55,0,None,None
9951,6270,9563,0.040289,105,30,3,T,tong hui he bei lu gao su gong lu
9952,6270,134,0.077356,301,55,3,T,tong hui he bei lu
9953,6271,8240,0.370114,602,55,2,F,cui wei lu
9954,6272,4826,0.219578,602,55,3,T,guang hua lu
9955,6272,3802,0.17567,301,55,2,F,dong san huan zhong lu fu lu
9956,6272,1494,0.05019,304,55,2,F,None
9957,6275,6897,0.074397,105,55,2,F,san huan
9958,6276,3467,0.199479,601,30,2,F,yong ding men nei da jie
9959,6276,3932,0.083786,601,55,3,T,yong ding men nei da jie
9960,6277,1389,0.139054,105,55,2,F,si huan
9961,6277,10766,0.278111,102,130,3,T,si huan
9962,6278,2868,0.242682,601,55,0,None,chao wai nan jie
9963,6278,2931,0.229483,602,55,2,F,chao wai shi chang jie
9964,6278,6196,0.010521,604,55,0,None,None
9965,6279,833,0.118036,602,55,3,T,dong zhi men nei da jie
9966,6279,18,0.023956,301,55,2,F,dong zhi men qiao
9967,6280,8184,0.266037,102,55,3,T,san huan
9968,6280,607,0.047189,102,55,2,F,san huan
9969,6281,5604,0.149819,301,30,2,F,ma dian qiao
9970,6281,2295,0.090091,301,55,3,T,de sheng men wai da jie
9971,6282,4730,0.538762,602,55,2,F,da liu shu lu
9972,6282,4357,0.010484,604,30,0,None,None
9973,6283,10497,0.101931,602,55,2,F,fu feng lu
9974,6284,6356,0.03531,601,55,1,None,None
9975,6284,5790,0.017765,601,30,1,None,None
9976,6285,9302,0.56544,601,55,1,None,jian an dong lu
9977,6286,131,0.012783,301,55,3,T,xi san huan bei lu fu lu
9978,6287,10016,0.060469,105,30,3,T,san huan
9979,6287,1632,0.082609,301,55,2,F,bei san huan dong lu fu lu
9980,6287,10445,0.302997,301,30,3,T,bei san huan dong lu fu lu
9981,6288,8038,0.08403,105,30,3,T,san huan
9982,6288,4663,0.161556,301,55,3,T,dong san huan bei lu
9983,6289,184,0.025785,601,55,2,F,li ze lu
9984,6290,3332,0.744692,601,30,1,None,nei wu bu jie
9985,6291,8453,0.218748,601,55,1,None,None
9986,6292,7974,0.052258,301,55,2,F,fu xing men qiao
9987,6293,2912,0.219342,301,55,3,T,xi si huan zhong lu fu lu
9988,6294,2989,0.268824,601,130,1,None,hua yuan bei lu
9989,6295,7577,0.013546,404,55,1,None,None
9990,6295,8669,0.259648,402,55,3,T,xing shi kou lu
9991,6296,8249,0.013328,604,30,1,None,None
9992,6296,4923,0.025061,602,55,2,F,dian chang lu
9993,6298,7651,0.108961,105,30,2,F,san huan
9994,6298,9163,0.519161,102,55,2,F,san huan
9995,6300,7275,0.529543,602,55,3,T,you an men wai da jie
9996,6300,3943,0.379189,601,55,0,None,None
9997,6301,4769,0.525906,601,55,0,None,None
9998,6301,3893,0.134054,601,55,0,None,None
9999,6302,6369,0.18224,402,55,3,T,zhu shi kou dong da jie
10000,6303,1460,0.100548,301,55,2,F,dong san huan bei lu
10001,6304,2246,0.104816,602,55,2,F,bei feng wo lu
10002,6304,4350,0.010435,604,30,1,None,None
10003,6305,10464,0.282066,601,55,0,None,huo qi ying lu
10004,6305,2436,0.324712,601,55,0,None,huo qi ying lu
10005,6306,8074,0.013227,604,55,1,None,None
10006,6306,3397,0.249436,602,55,2,F,zhen guo si bei jie
10007,6307,711,0.172559,602,55,2,F,xi cui lu
10008,6308,2341,0.011547,604,55,2,F,None
10009,6308,6702,0.013845,604,55,3,T,None
10010,6309,1329,0.139028,602,55,2,F,hua wei nan lu
10011,6309,4651,0.113479,601,55,0,None,None
10012,6310,8112,0.078676,105,30,2,F,san huan
10013,6310,9812,0.181975,102,55,3,T,san huan
10014,6310,5917,0.341767,102,55,2,F,san huan
10015,6311,8562,0.739428,102,55,3,T,san huan
10016,6312,7111,0.174369,301,55,2,F,None
10017,6313,9167,0.124887,602,55,2,F,chang qing yuan lu
10018,6314,499,0.153566,601,55,0,None,None
10019,6314,9557,0.163842,601,55,0,None,ba ke yang nan jie
10020,6315,9275,0.157568,301,55,3,T,dong san huan zhong lu fu lu
10021,6315,2550,0.020322,301,55,2,F,dong san huan zhong lu fu lu
10022,6317,1797,0.01529,102,130,3,T,si huan
10023,6318,10705,0.0302,602,30,3,T,guang yi jie
10024,6318,4389,0.038493,402,130,2,F,guang an men nei da jie
10025,6319,459,0.176316,601,30,2,F,None
10026,6319,2731,0.22257,5,55,2,F,jing gang ao gao su gong lu
10027,6319,5621,0.10458,301,55,3,T,yue ge zhuang qiao
10028,6320,4282,0.361979,601,55,1,None,None
10029,6320,3541,0.225821,601,55,1,None,liu cun lu
10030,6321,5172,0.359575,102,130,3,T,er huan
10031,6322,6167,0.387427,301,30,2,F,che dao gou qiao
10032,6323,738,0.011884,604,130,3,T,None
10033,6323,7812,0.0082,604,55,2,F,None
10034,6324,4104,0.016433,604,55,3,T,None
10035,6324,7669,0.013421,604,55,2,F,None
10036,6325,3578,0.05335,601,55,1,None,zuo an lu
10037,6325,8955,0.113722,601,55,1,None,zuo an lu
10038,6326,4040,0.013546,604,30,1,None,None
10039,6326,5419,0.332054,601,30,3,T,fu cheng men wai da jie
10040,6327,7192,0.078194,301,30,2,F,None
10041,6327,5311,0.101627,301,55,3,T,None
10042,6328,318,0.200147,601,55,1,None,liu jia yao lu
10043,6329,4221,0.003956,601,55,3,T,zi zhu yuan lu
10044,6329,2934,0.169555,301,30,3,T,che dao gou qiao
10045,6330,4734,0.097078,601,30,3,T,bei jing xi zhan nan lu
10046,6331,3850,0.237887,301,55,3,T,bei si huan dong lu fu lu
10047,6331,1883,0.040003,105,30,2,F,si huan
10048,6332,8622,0.138714,601,30,2,F,chong wen men wai da jie
10049,6333,1145,0.135672,301,30,3,T,de sheng men xi da jie
10050,6334,8363,0.169629,601,30,2,F,chao yang men wai da jie
10051,6334,268,0.012945,601,30,2,F,shen lu jie
10052,6335,1021,0.159341,301,55,3,T,None
10053,6336,6982,0.099339,301,30,3,T,shuang long lu
10054,6337,7508,0.105192,601,55,1,None,si dao kou lu
10055,6338,6161,0.070164,600,30,3,T,None
10056,6339,5882,0.095424,402,55,2,F,di an men xi da jie
10057,6339,2903,0.016704,404,55,1,None,None
10058,6340,4362,0.187554,301,55,2,F,bei si huan dong lu fu lu
10059,6340,494,0.350159,601,55,0,None,None
10060,6341,2786,0.362295,601,55,1,None,jing tai lu
10061,6341,2035,0.129345,601,55,1,None,an le lin lu
10062,6343,8988,0.366356,601,55,1,None,chao wai nan jie
10063,6344,2648,0.249973,602,130,2,F,dong dan bei da jie
10064,6344,1705,0.601513,302,130,3,T,jian guo men nei da jie
10065,6345,150,0.808635,601,55,3,T,hou hai nan yan
10066,6346,5252,0.339729,601,55,0,None,shang jia lou lu
10067,6347,3455,0.204925,301,55,2,F,xuan wu men xi da jie
10068,6348,2401,0.012991,304,130,2,F,None
10069,6348,3444,0.710842,602,130,2,F,ling long lu
10070,6349,7307,0.24745,301,55,2,F,zuo an men xi bin he lu
10071,6350,10283,0.332336,601,55,1,None,None
10072,6350,2779,0.113145,601,30,2,F,jian guo lu
10073,6351,5207,0.253076,301,55,2,F,dong san huan zhong lu fu lu
10074,6352,4275,0.198206,601,55,1,None,wu sheng lu
10075,6352,7278,0.201082,601,55,1,None,wu sheng lu
10076,6353,10717,0.167311,301,55,2,F,chao yang men nan da jie
10077,6353,9373,0.054827,105,30,3,T,er huan
10078,6354,656,0.30966,102,55,3,T,er huan
10079,6355,10390,0.157778,301,55,3,T,dong si huan zhong lu fu lu
10080,6357,5455,0.259619,402,130,3,T,zhong guan cun da jie
10081,6358,8209,0.366046,102,130,2,F,si huan
10082,6358,8395,0.073166,105,30,2,F,si huan
10083,6359,5680,0.072692,601,130,1,None,jiu gu lou da jie
10084,6360,4624,0.311552,602,55,2,F,dou ban hu tong
10085,6360,5044,0.010776,604,55,0,None,None
10086,6361,10441,0.162751,301,55,3,T,lan dian chang nan lu
10087,6362,714,0.019354,604,55,3,T,None
10088,6362,4063,0.103081,105,30,2,F,er huan
10089,6363,8960,0.007768,102,130,3,T,san huan
10090,6363,2507,0.047403,105,30,2,F,san huan
10091,6364,7267,0.010105,604,55,3,T,None
10092,6364,700,0.017257,604,55,2,F,None
10093,6365,7460,0.049375,105,30,3,T,er huan
10094,6365,5733,0.023798,301,30,3,T,guang qu men nan bin he lu
10095,6366,9434,0.536349,301,55,3,T,nan si huan zhong lu fu lu
10096,6367,5885,0.224508,302,130,3,T,fu xing men wai da jie
10097,6368,798,0.235094,602,55,3,T,jiao dao kou nan da jie
10098,6369,10513,0.204642,402,55,3,T,zhu shi kou dong da jie
10099,6370,9760,0.141308,602,55,2,F,cang jia dao
10100,6371,3236,0.025062,402,130,2,F,guang an men nei da jie
10101,6372,1058,0.155612,601,55,1,None,yao jia yuan lu
10102,6373,4841,0.215527,602,55,2,F,xue yuan nan lu
10103,6374,1960,0.535937,601,30,1,None,da cha ye hu tong
10104,6374,6256,0.127381,601,55,1,None,cui hua jie
10105,6375,249,0.187278,601,55,2,F,zuo jia zhuang nan xie jie
10106,6376,9422,0.043066,304,130,2,F,None
10107,6376,5878,0.123186,602,130,3,T,bei tu cheng xi lu
10108,6378,7464,0.064701,301,55,2,F,bei si huan dong lu fu lu
10109,6379,1731,0.116661,102,55,2,F,xue yuan lu
10110,6379,2435,0.108685,105,30,3,T,xue yuan lu
10111,6380,10665,0.272609,301,55,3,T,jian guo men bei da jie
10112,6380,531,0.084213,301,55,2,F,chao yang men nan da jie
10113,6380,3788,0.118966,601,55,1,None,ya bao lu
10114,6381,8149,0.241085,601,55,1,None,nan zhan xing fu lu
10115,6382,8414,0.77889,102,130,2,F,si huan
10116,6383,3329,0.11254,301,55,3,T,tong hui he bei lu
10117,6383,5435,0.045512,304,30,2,F,None
10118,6384,7684,0.078669,301,55,2,F,xi si huan bei lu fu lu
10119,6384,5558,0.279073,601,55,0,None,None
10120,6385,7149,0.139158,401,55,2,F,bei tu cheng xi lu
10121,6385,2799,0.122499,402,55,2,F,hua yuan dong lu
10122,6386,4569,0.072309,301,55,2,F,bei wa dong jie
10123,6387,1700,0.170216,102,55,3,T,xi tu cheng lu
10124,6388,5582,0.03834,304,55,3,T,None
10125,6388,10095,0.015851,304,55,2,F,None
10126,6389,1363,0.170105,202,55,2,F,yong ding men wai da jie
10127,6390,472,0.3446,602,55,2,F,de sheng men nei da jie
10128,6390,10501,0.009147,604,30,1,None,None
10129,6391,10633,0.152949,602,55,2,F,min zu yuan xi lu
10130,6392,510,0.635301,601,55,1,None,ba ke yang nan jie
10131,6392,4982,0.321944,601,55,1,None,None
10132,6393,6636,0.005471,300,55,2,F,wan quan he qiao
10133,6394,7418,0.120901,602,130,2,F,tai ping qiao da jie
10134,6394,2839,0.751754,601,30,1,None,yang rou hu tong
10135,6395,8913,0.019533,300,30,2,F,guang qu men qiao
10136,6396,1297,0.045307,601,55,1,None,deng shi kou xi jie
10137,6396,1644,0.096543,601,130,1,None,bei he yan da jie
10138,6397,276,0.040055,201,30,3,T,None
10139,6397,2597,0.193548,202,55,2,F,nan yuan lu
10140,6398,3860,0.029982,602,30,2,F,guang yi jie
10141,6398,3452,0.168464,402,130,3,T,guang an men nei da jie
10142,6398,6318,0.011034,404,130,2,F,None
10143,6399,2058,0.009839,604,55,1,None,None
10144,6399,7789,0.140368,602,55,3,T,bei jing xi zhan nan lu
10145,6400,10092,0.184693,601,55,1,None,shuang bei zi fen lu
10146,6401,5512,0.0241,602,55,3,T,ma jia pu xi lu
10147,6402,9490,0.198402,601,30,2,F,xi da wang lu
10148,6402,4965,0.091695,402,130,3,T,guang qu lu
10149,6402,8333,0.187553,602,55,2,F,xi da wang lu
10150,6404,5217,0.051783,301,55,3,T,xi san huan bei lu fu lu
10151,6404,765,0.178273,301,55,2,F,xi san huan bei lu fu lu
